round_id,published_at,public_figure,panelist,outcome,playable
ko-539,2018-05-17T16:16:00-03:00,Ciro Gomes,Fernando de Barros e Silva,did_not_win,true
ko-539,2018-05-17T16:16:00-03:00,Ciro Gomes,Malu Gaspar,winner,true
ko-539,2018-05-17T16:16:00-03:00,Ciro Gomes,José Roberto de Toledo,did_not_win,true
ko-538,2018-05-24T17:00:00-03:00,Henrique Meirelles,Fernando de Barros e Silva,did_not_win,true
ko-538,2018-05-24T17:00:00-03:00,Henrique Meirelles,Malu Gaspar,winner,true
ko-538,2018-05-24T17:00:00-03:00,Henrique Meirelles,José Roberto de Toledo,did_not_win,true
ko-537,2018-05-31T16:07:00-03:00,Marina Silva,Fernando de Barros e Silva,did_not_win,false
ko-537,2018-05-31T16:07:00-03:00,Marina Silva,José Roberto de Toledo,did_not_win,false
ko-537,2018-05-31T16:07:00-03:00,Marina Silva,Malu Gaspar,did_not_win,false
ko-536,2018-06-07T16:22:00-03:00,Dilva Rouseff,Fernando de Barros e Silva,did_not_win,false
ko-536,2018-06-07T16:22:00-03:00,Dilva Rouseff,José Roberto de Toledo,did_not_win,false
ko-536,2018-06-07T16:22:00-03:00,Dilva Rouseff,Júlia Dualib,did_not_win,false
ko-535,2018-06-14T16:45:00-03:00,Márcio França,Fernando de Barros e Silva,did_not_win,true
ko-535,2018-06-14T16:45:00-03:00,Márcio França,José Roberto de Toledo,did_not_win,true
ko-535,2018-06-14T16:45:00-03:00,Márcio França,Malu Gaspar,winner,true
ko-534,2018-06-21T17:24:00-03:00,Sérgio Côrtes,Fernando de Barros e Silva,did_not_win,true
ko-534,2018-06-21T17:24:00-03:00,Sérgio Côrtes,José Roberto de Toledo,did_not_win,true
ko-534,2018-06-21T17:24:00-03:00,Sérgio Côrtes,Malu Gaspar,winner,true
ko-533,2018-06-28T16:49:00-03:00,Michel Temer,Fernando de Barros e Silva,did_not_win,false
ko-533,2018-06-28T16:49:00-03:00,Michel Temer,José Roberto de Toledo,did_not_win,false
