round_id,episode_id,episode_number,title,published_at,public_figure,participants,winners,is_tie,playable,confidence,spotify_url,audio_url
ko-539,539,1,"#1: Justiçamento, abraço de gambá e túnel do tempo",2018-05-17T16:16:00-03:00,Ciro Gomes,Fernando de Barros e Silva; Malu Gaspar; José Roberto de Toledo,Malu Gaspar,false,true,0.95,https://open.spotify.com/episode/2UF8CiHHbJJPaVD4Mb3ZSl,https://traffic.megaphone.fm/NPP3599174774.mp3?updated=1713197583
ko-538,538,2,"#2: As chances de Ciro, o desmanche da Venezuela e uma encrenca chamada Bolsonaro",2018-05-24T17:00:00-03:00,Henrique Meirelles,Fernando de Barros e Silva; Malu Gaspar; José Roberto de Toledo,Malu Gaspar,false,true,0.95,https://open.spotify.com/episode/7qacJFWrlf91U5RvlO9MHt,https://traffic.megaphone.fm/NPP9530191318.mp3?updated=1713202597
ko-537,537,3,"#3: Desabastecimento moral, ressaca política e o atoleiro de Alckmin",2018-05-31T16:07:00-03:00,Marina Silva,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,,false,false,0.96,https://open.spotify.com/episode/3Nge90y6w8iYKUXk3t1XQ9,https://traffic.megaphone.fm/NPP9620993510.mp3?updated=1713225096
ko-536,536,4,"#4: Um elefante na eleição, o recado do Tocantins e a dança dos números",2018-06-07T16:22:00-03:00,Dilva Rouseff,Fernando de Barros e Silva; José Roberto de Toledo; Júlia Dualib,,false,false,0.0,https://open.spotify.com/episode/6YDV7NjmuGcdOxIDM2gh0U,https://traffic.megaphone.fm/NPP6793074903.mp3?updated=1713227814
ko-535,535,5,"#5: Epidemia de homicídios, o fracasso da vacina e a Copa da fisiologia",2018-06-14T16:45:00-03:00,Márcio França,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.94,https://open.spotify.com/episode/0jwDgpBHs40SoRfoXVxiRg,https://traffic.megaphone.fm/NPP9150931371.mp3?updated=1713282553
ko-534,534,6,"#6: O aborto na eleição, os paradoxos de Marina e a absolvição de Gleisi",2018-06-21T17:24:00-03:00,Sérgio Côrtes,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.99,https://open.spotify.com/episode/2ejJ288nxckkCqpKnta3mc,https://traffic.megaphone.fm/NPP6087315694.mp3?updated=1713282502
ko-533,533,7,"#7: Racha no Supremo, o namoro de Bolsonaro e o junho sem fim",2018-06-28T16:49:00-03:00,Michel Temer,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,,false,false,0.95,https://open.spotify.com/episode/0lRDPZFp3zzpU9hhA8KvcM,https://traffic.megaphone.fm/NPP4920369556.mp3?updated=1713282480
ko-532,532,8,"#8: Revolução mexicana, as últimas pesquisas no Brasil e Dilma x Aécio, o retorno",2018-07-05T16:50:00-03:00,José Luiz Datena,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,José Roberto de Toledo,false,true,0.98,https://open.spotify.com/episode/1N8cClrXpKI4fiSfHG85ta,https://traffic.megaphone.fm/NPP6630413869.mp3?updated=1713282379
ko-531,531,9,"#9: Comédia judicial, ponto para o PT e a bênção de Crivella",2018-07-12T17:04:00-03:00,Flávio Rocha,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.95,https://open.spotify.com/episode/5r8XNTuCkyLwwRrCsWEcKy,https://traffic.megaphone.fm/NPP3712105987.mp3?updated=1713282244
ko-530,530,10,"#10: O nome da noiva, a renovação que não virá e o custo-Temer",2018-07-19T18:49:00-03:00,Janaína Paschoal,Fernando de Barros e Silva; José Roberto de Toledo; Ana Carolina Evangelista,,false,false,0.95,https://open.spotify.com/episode/1ZYmlawhsMlEbuzke7uliJ,https://traffic.megaphone.fm/NPP9892233581.mp3?updated=1713281925
ko-529,529,11,"#11: O futuro de Bolsonaro, o xadrez de Alckmin e a armadilha da esquerda",2018-07-26T16:53:00-03:00,Cabo Daciolo,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.93,,https://traffic.megaphone.fm/NPP9942302632.mp3?updated=1713281494
ko-528,528,12,"#12: O quebra-cabeça dos estados, o PT volta às origens, e o teste televisivo de Bolsonaro",2018-08-02T16:45:00-03:00,Eduardo Paes,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.95,,https://traffic.megaphone.fm/NPP4947031262.mp3?updated=1713281383
ko-527,527,13,"#13: As vices mulheres, o embate Alckmin x Bolsonaro, e o xeque-mate de Lula",2018-08-09T16:50:00-03:00,Magno Malta,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.99,,https://traffic.megaphone.fm/NPP3033127875.mp3?updated=1713281140
ko-526,526,14,"#14: O ventríloquo de Haddad, a sucessão no Rio e o primeiro-ministro de Bolsonaro",2018-08-16T18:30:00-03:00,Ciro Gomes,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.95,,https://traffic.megaphone.fm/NPP5127102414.mp3?updated=1713228066
ko-525,525,15,"#15: Lula x Bolsonaro, Marina e as mulheres, e os conflitos em Roraima",2018-08-23T16:30:00-03:00,Walderice Santos da Conceição (Wal do Açaí),Malu Gaspar; José Roberto de Toledo; Carol Pires,,false,false,0.88,,https://traffic.megaphone.fm/NPP2687184668.mp3?updated=1713227940
ko-524,524,16,"#16: A eleição no horário nobre, o mensalinho do Twitter e a última chance de Alckmin",2018-08-30T16:40:00-03:00,Aécio Neves,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.83,,https://traffic.megaphone.fm/NPP8698758947.mp3?updated=1713227880
ko-523,523,17,#17: O atentado contra Bolsonaro e o incêndio no Museu Nacional,2018-09-07T02:14:00-03:00,,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,,false,false,0.0,,https://traffic.megaphone.fm/NPP6088990752.mp3?updated=1713227626
ko-522,522,18,"#18: Haddad larga, Bolsonaro cresce e os milionários doam (a si próprios)",2018-09-13T16:50:00-03:00,José Dirceu,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,true,true,0.97,,https://traffic.megaphone.fm/NPP3826740082.mp3?updated=1713227567
ko-521,521,19,"#19: O fim da terceira via, o fim do segundo turno e o fim do PSDB?",2018-09-20T16:50:00-03:00,Kim Kataguiri,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,,false,false,0.95,,https://traffic.megaphone.fm/NPP3500258686.mp3?updated=1713227467
ko-520,520,20,"#20: O segundo turno já começou, ameaças à democracia e a dura vida dos governadores",2018-09-27T16:50:00-03:00,Valdir Maranhão,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,,false,false,0.96,,https://traffic.megaphone.fm/NPP4223320508.mp3?updated=1713226378
ko-519,519,21,"#21: Moro volta à cena, o efeito bumerangue do #EleNão e o segundo turno antecipado",2018-10-04T16:50:00-03:00,Jaques Wagner,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.98,,https://traffic.megaphone.fm/NPP6132409352.mp3?updated=1713226253
ko-507,507,22,"#22: O arrastão da direita, a derrota da mídia tradicional e o favoritismo de Bolsonaro",2018-10-11T16:59:00-03:00,Marta Suplicy,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,,false,false,0.98,,https://traffic.megaphone.fm/NPP7338669657.mp3?updated=1713219211
ko-506,506,23,"#23: A eleição nos estados, o drama de Haddad e o que esperar de um governo Bolsonaro",2018-10-18T16:50:00-03:00,Luciano Hang,Fernando de Barros e Silva; Malu Gaspar; José Roberto de Toledo,,false,false,0.93,,https://traffic.megaphone.fm/NPP2523125572.mp3?updated=1713217633
ko-505,505,24,"#24: Bolsonaro radicaliza na reta final, o fim do lulismo e o cenário nos estados",2018-10-25T17:27:00-03:00,Washington Quaquá,Fernando de Barros e Silva; José Roberto de Toledo; Malu Gaspar,Malu Gaspar,false,true,0.97,,https://traffic.megaphone.fm/NPP8448544940.mp3?updated=1713217574
